timestamp,symbol,session,score,direction,ema_weight,macd_weight,rsi_weight,adx_weight,vwma_weight,bb_weight,candle_patterns,chart_pattern
2025-07-13 18:06:07,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:06:08,ENAUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:06:11,PNUTUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:07:14,USDCUSDT,US,1.98,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:07:14,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:07:15,HBARUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:07:16,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,RisingWedge
2025-07-13 18:07:17,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:07:18,ENAUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:07:21,PNUTUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,FallingWedge
2025-07-13 18:07:39,USDCUSDT,US,1.98,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:07:39,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:07:40,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:07:41,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:07:42,DOGEUSDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:07:42,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:07:44,ENAUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:07:48,PNUTUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:09:34,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",None
2025-07-13 18:09:35,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:09:36,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:09:37,BONKUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:09:37,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",RisingWedge
2025-07-13 18:09:37,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,RisingWedge
2025-07-13 18:09:38,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:09:39,ENAUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:09:43,PNUTUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:11:47,XRPUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:11:47,USDCUSDT,US,1.98,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:11:48,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:11:50,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:11:50,BONKUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:11:50,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",RisingWedge
2025-07-13 18:11:51,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,RisingWedge
2025-07-13 18:11:51,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:11:54,NEIROUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:11:55,PNUTUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:13:40,USDCUSDT,US,4.14,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:13:40,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:13:41,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:13:42,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:13:43,BONKUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:13:43,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",RisingWedge
2025-07-13 18:13:44,ADAUSDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,None
2025-07-13 18:13:44,BANANAS31USDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 18:13:45,ENAUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:13:48,NEIROUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:17:42,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:17:42,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:17:43,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:17:45,BANANAS31USDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 18:30:11,BANANAS31USDT,US,3.96,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:34:07,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:34:10,FDUSDUSDT,US,3.06,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:34:14,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:34:17,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:35:33,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:35:34,FDUSDUSDT,US,3.06,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:35:40,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:35:42,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:36:28,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:36:29,FDUSDUSDT,US,3.06,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:36:30,HBARUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:36:32,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:37:40,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:37:41,FDUSDUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,None
2025-07-13 18:37:43,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:38:50,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:38:51,FDUSDUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,None
2025-07-13 18:38:53,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:40:00,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:40:01,FDUSDUSDT,US,3.06,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:40:04,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:40:08,ALGOUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:41:17,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:41:18,FDUSDUSDT,US,3.06,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:41:21,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:41:23,SEIUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
